train/reward,train/critic_loss,time/total_timesteps,time/fps,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,train/n_updates
-0.40158615,58.721866607666016,2008,200,4,19.88418960571289,9,0.001,1907
-0.40158615,122.15128326416016,4016,200,8,18.318790435791016,20,0.001,3915
-0.40158615,6.69763708114624,6024,198,12,22.69511604309082,30,0.001,5923
-0.40158615,0.7729805707931519,8032,198,16,19.187633514404297,40,0.001,7931
-0.40158615,0.16395296156406403,10040,197,20,16.401630401611328,50,0.001,9939
-0.40158615,0.16985242068767548,12048,197,24,14.364748001098633,61,0.001,11947
-0.40158615,0.2204400599002838,14056,198,28,11.715642929077148,70,0.001,13955
-0.40158615,0.19608040153980255,16064,198,32,10.56807804107666,80,0.001,15963
-0.40158615,0.14214745163917542,18072,200,36,9.02174186706543,90,0.001,17971
